file,number,has_suffix,creates_table,creates_function,creates_policy,creates_trigger,storage,cron
0370_enterprise_commission_preview.sql,0370,no,,y,,,,
0371_enterprise_monthly_store_price_admin_only.sql,0371,no,,y,,,,
0372_enterprise_monthly_settlement.sql,0372,no,y,y,y,y,,
0373_enterprise_primary_franchise_trigger.sql,0373,no,,y,,y,,
0374_enterprise_business_profiles_authenticated_write_grants.sql,0374,no,,,,,,
0375_enterprise_regions_v2_policy_online_count.sql,0375,no,,y,,,,
0376_admin_now_playing_kpi_v2.sql,0376,no,,y,,,,
0377_policy_deployment_center_v2.sql,0377,no,,y,,,,
0378_policy_automation_engine_v1.sql,0378,no,y,y,y,y,,
0379_deployable_playlist_from_source.sql,0379,no,,y,,,,
0380_fix_rpc_cte_scope.sql,0380,no,,y,,,,
0381_announcement_audio_scheduler_v1.sql,0381,no,y,y,y,y,y,
0382_enterprise_billing_invoices_v1.sql,0382,no,y,y,y,y,,
0383_enterprise_contracts_v1.sql,0383,no,y,y,y,y,y,
0384_emergency_broadcast_v1.sql,0384,no,y,y,y,y,,
0385_enterprise_noc_v1.sql,0385,no,y,y,y,y,,
0386_announcement_due_window_extend.sql,0386,no,,y,,,,
0387_announcement_url_freshness_and_perf.sql,0387,no,,y,,,,
0388_announcement_exact_time_trigger_v2.sql,0388,no,,y,,,,
0388_artist_settlement_visibility_lockdown.sql,0388,no,,y,y,,,
0389_announcement_occurrence_dedup.sql,0389,no,,y,,,,
0390_enterprise_settlement_contract_integration.sql,0390,no,,y,,,,
0391_cron_automation_unblock.sql,0391,no,,y,,,,
0392_admin_notifications_dispatch_idempotency.sql,0392,no,,,,,,
0393_noc_alert_sync.sql,0393,no,,y,,,,
0394_enterprise_contracts_bucket_private.sql,0394,no,,,y,,y,
0395_enterprise_operations_center.sql,0395,no,,y,,,,
0396_enterprise_ops_export_logs_rpc.sql,0396,no,,y,,,,
0397_enterprise_billing_pdf_email_v1.sql,0397,no,y,y,y,,y,
0398_enterprise_brand_registry_v1.sql,0398,no,y,y,,y,,
0399_enterprise_settlement_minimum_payout_gate.sql,0399,no,,y,,,,
0400_enterprise_settlement_carryover_engine.sql,0400,no,,y,,,,
0401_enterprise_hq_ops_center.sql,0401,no,,y,,,,
0402_enterprise_hq_intel_center.sql,0402,no,,y,,,,
0403_enterprise_hq_notification_center.sql,0403,no,y,y,y,y,,
0404_hotfix_playback_guardrail_enforcement.sql,0404,no,,y,,,,
0405_brand_player_mvp.sql,0405,no,y,y,y,y,y,
0406_admin_enterprise_detail.sql,0406,no,,y,,,,
0407_brand_enterprise_link.sql,0407,no,,y,,,,
0412_streaming_v2_foundation.sql,0412,no,y,y,y,,,
0413_streaming_v2_operation.sql,0413,no,,y,,,,
0420_settlement_v2_shadow.sql,0420,no,y,y,y,,,
0452_brand_signage_settings.sql,0452,no,y,y,y,,,
0453_brand_media_video_support.sql,0453,no,,y,,,y,
0454_settlement_logic2_schema_and_compute.sql,0454,no,,y,,,,
0455_settlement_logic2_rpcs.sql,0455,no,,y,,,,
0456_admin_settlement_display_fields.sql,0456,no,,y,,,,
